status,user,pricePerPoint,totalCost,points,resort,useYear,availablePoints,notes,dateSent,dateResolved
Passed,MB_01,96.00,17602.00,160,AKV,Jun,"0/16, 0/17, 160/18, 160/19",,2018-03-09,2018-03-28
Passed,Enapai,100.00,24183.00,220,AKV,Sep,"0/16, 69/17, 220/18, 220/19",,2018-03-28,2018-04-09
Passed,kdhunter,105.00,18436.00,160,AKV,Aug,"7/16, 160/17, 160/18, 160/19",,2018-03-29,2018-04-09
Passed,nates,97.00,31800.00,320,AKV,Apr,"0/17, 0/18, 320/19, 320/20",,2018-03-27,2018-04-09
Passed,evenstephen,108.00,13911.00,120,AKV,Sep,"0/16, 0/17, 66/18, 120/19",,2018-04-10,2018-04-19
Passed,Drewferin,107.00,21080.00,180,AKV,Dec,"0/17, 180/18, 180/19",,2018-04-11,2018-05-01
Passed,Beesknees6,110.00,12840.00,110,AKV,Feb,"110/17, 110/18, 110/19, 110/20",Seller pays all cc,2018-04-11,2018-05-01
Passed,TotallyMinnie83,102.00,18045.00,160,AKV,Apr,"0/17, 160/18, 160/19, 160/20",,2018-04-15,2018-05-01
Passed,DaveNan,100.00,17755.00,160,AKV,Dec,"152/17, 160/18, 160/19",International Seller,2018-04-18,2018-05-08
Passed,hoserland,115.00,20040.00,160,AKV,Dec,"102/17, 160/18, 160/19",,2018-04-24,2018-05-11
Passed,Beesknees6,105.00,6431.00,52,AKV,Feb,"0/17, 0/18, 52/19, 52/20",Buyer pays 2018 mf,2018-04-17,2018-05-17
Passed,OneLittleSpark2014,104.00,18276.00,160,AKV,Oct,"0/17, 160/18, 160/19",,2018-04-27,2018-05-17
Passed,edgeney,110.00,7610.00,60,AKV,Feb,"0/17, 85/18, 60/19",,2018-05-05,2018-05-23
Passed,LawrenceFamily,95.00,22460.00,230,AKV,Mar,"0/17, 0/18, 86/19, 230/20",,2018-04-30,2018-05-23
Passed,jjwelch24,85.00,17226.00,170,AUL,Jun,"0/17, 170/18, 170/19",,2018-03-16,2018-04-23
Passed,Bruin_mouse,80.00,11403.00,120,AUL,Jun,"110/17, 120/18, 120/19",,2018-04-03,2018-04-25
Passed,katrinameucci,135.00,7250.00,50,AUL,Dec,"0/17, 50/18, 50/19",Subsidized,2018-04-14,2018-05-01
Passed,Madame,132.00,38204.00,270,BCV,Aug,"0/17, 270/18, 270/19",,2018-03-27,2018-04-09
Passed,Bambi19,125.00,13180.00,100,BCV,Apr,"0/17, 42/18, 100/19, 100/20",No 2018 Dues,2018-04-11,2018-05-01
Passed,krw1243,140.00,16821.00,110,BCV,Jun,"0/17, 220/18, 110/19, 110/20",,2018-05-01,2018-05-23
Passed,Rylie Grite,165.00,9011.00,50,BLT,Jun,"0/17, 100/18, 50/19",,2018-03-22,2018-04-06
Passed,BethuneBoys,125.00,30700.00,240,BLT,Feb,"0/17, 0/18, 240/19, 240/20",,2018-04-04,2018-04-16
Passed,jdaly84,145.00,15627.00,100,BLT,Dec,"100/17, 100/18, 100/19",,2018-04-05,2018-04-17
Passed,Tarkin18,130.00,21415.00,160,BLT,Mar,"0/17, 0/18, 160/19",,2018-04-09,2018-04-19
Passed,DisneyMomKelli,135.00,21890.00,150,BLT,Mar,"0/17, 150/18, 150/19, 150/20",,2018-04-10,2018-04-19
Passed,MarcThomas16,150.00,8327.00,50,BLT,Aug,"50/17, 50/18, 50/19",,2018-04-19,2018-05-04
Passed,MickeyReeds,135.00,23333.00,160,BLT,Dec,"0/17, 160/18, 160/19",,2018-04-16,2018-05-07
Passed,NewYorkMom,136.00,29237.00,200,BLT,Feb,"0/17, 400/18, 200/19, 200/20",,2018-05-06,2018-05-23
Passed,1savvygal,127.00,21467.00,160,BLT,Aug,"0/17, 320/18, 160/19",Seller pays CC,2018-04-27,2018-05-23
Passed,TexasChick123,135.00,21743.00,150,BLT,Jun,"0/17, 156/18, 150/19, 150/20",,2018-04-30,2018-05-24
Passed,Wanna be Ariel,106.00,16629.00,150,BWV,Mar,"22/17, 150/18, 150/19",,2018-03-15,2018-04-03
Passed,Jerry5788,113.00,25826.00,210,BWV,Jun,"0/17, 420/18, 210/19",,2018-04-03,2018-04-09
Passed,wl250,107.00,34971.00,300,BWV,Oct,"0/17, 600/18, 300/19",,2018-03-28,2018-04-09
Passed,BW18,121.00,26338.00,200,BWV,Dec,"200/16, 200/17, 200/18, 200/19",,2018-03-26,2018-04-09
Passed,Beesknees6,110.00,25197.00,215,BWV,Feb,"17/17, 138/18, 215/19, 215/20",,2018-04-04,2018-04-17
Passed,Mtob88,112.00,18495.00,150,BWV,Dec,"0/17, 110/18, 150/19",,2018-04-14,2018-05-01
Passed,mlittig,133.00,7450.00,50,BWV,Aug,"3/17, 15/18, 50/19 ",,2018-04-13,2018-05-03
Passed,Cathy C,108.00,26225.00,235,BWV,Dec,"2/17, 235/18, 235/19",,2018-04-17,2018-05-17
Passed,MsMinnie,117.00,19188.85,150,BWV,Dec,"87/17, 150/18, 150/19",,2018-04-17,2018-05-03
Passed,tedhowe(Seller),75.00,12903.00,150,HH,Oct,"49/17, 150/18, 150/19",,2018-03-21,2018-04-03
Passed,darby888,75.00,8971.00,100,HHI,June,"7/17, 100/18, 100/19",,2018-04-13,2018-05-01
Passed,dbehnken80,70.00,16110.00,200,HH,Feb,"0/17, 183/18, 200/19, 200/20",,2018-04-17,2018-05-04
Passed,mlittig,103.00,11758.00,100,OKW,Dec,"0/17, 100/18, 100/19 ",,2018-04-24,2018-05-07
Passed,rootbeerkid,105.00,6000.00,50,OKW(E),Sep,"0/16, 15/17, 50/18, 50/19",,2018-03-26,2018-04-09
Passed,Misspiggy1978,169.00,9200.00,50,PVB,Dec,"2/17, 50/18, 50/19",,2018-03-06,2018-03-22
Passed,LYSE,135.00,29083.00,200,PVB,Oct,"200/17, 400/18, 200/19",,2018-03-20,2018-04-05
Passed,PKen82,135.00,21040.00,150,PVB,Mar,"0/17, 0/18, 150/19",,2018-03-26,2018-04-10
Passed,Moonlight Graham,141.00,19125.00,125,PVB,Oct,"0/17, 125/18, 125/19",,2018-04-06,2018-04-13
Passed,nikerbokers,145.00,15120.00,100,PVB,Jun,"0/17, 100/18, 100/19",Seller pays CC,2018-04-03,2018-04-19
Passed,ten50,130.00,14322.00,100,PVB,Apr,"0/17, 100/18, 100/19",,2018-04-12,2018-04-26
